Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
"PRC_0381/2018_RHU - Aquisição de Serviços de Limpeza e Higienização das Instalações Administrativas da Águas do Norte, S.A – Lote 2 – Pólo de Barcelos ";Concurso público;Aquisição de serviços;"90911000-6, Serviços de limpeza de alojamentos, edifícios e janelas";"Águas do Norte, SA (513606084)";Dragondisplay (515109509);"107.280,00 €";24-04-2019;23-04-2019;1095 dias;"Portugal, Braga, Barcelos";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de diversos fardamentos para vários serviços do Município do Funchal;Concurso público;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Câmara Municipal do Funchal (511217315);"DIAS & VICENTES, LDA. (500901694)";"70.474,35 €";24-04-2019;01-04-2019;365 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
O objeto principal é a aquisição e montagem de dois edifícios de apoio (um edifício destinado a bar e outro edifício destinado a balneários) para apoio à Praia Fluvial de Amieira.;Concurso público;Aquisição de bens móveis;"44211000-2, Edifícios pré-fabricados";Município  de Portel (506196445);"Manteivias Engenharia Construção, SA (507200420)";"147.371,74 €";24-04-2019;10-04-2019;75 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"S10014/2018 Fornecimento de Serviços de Transporte de Doentes ao CHBM, EPE";Concurso público;Aquisição de serviços;"85143000-3, Serviços de ambulâncias";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"HELPED EMERGENCY, LDA ASSICIAÇÃO HUMANITÁRIA DE BOMBEIROS VOLUNTÁRIOS DO SUL E SUESTE E ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS VOLUNTÁRIOS O DAFUNDO (509388906)";"294.872,50 €";24-04-2019;28-05-2018;245 dias;"Portugal, Setúbal, Barreiro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";31-12-2018;"201.443,87 €";;Consumo efetivo inferior ao estimado;;Não aplicável.;Não aplicável.;false
Prestação de serviços de seguros do segmento não vida;Concurso público;Aquisição de serviços;"66515000-3, Serviços de seguros contra danos ou perdas<BR/>66512000-2, Serviços de seguros de acidentes e de saúde";Município de Estremoz (506556590);"Fidelidade – Companhia de Seguros, S.A. (500918880)";"107.158,69 €";24-04-2019;05-04-2019;365 dias;"Portugal, Évora, Estremoz";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Beneficiação geral do cais flutuante MT de Foz de Odeleite;Concurso público;Empreitadas de obras públicas;"45241100-9, Construção de cais";"Docapesca - Portos e Lotas, S. A. (500086826)";"Ahlers, Lindley, Lda (500012261)";"66.290,00 €";24-04-2019;19-03-2019;84 dias;"Portugal, Faro, Castro Marim";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços externos de consultoria para a elaboração de um “Estudo de boas práticas e condições de construção de plataforma de gestão de informação necessária à geração de inteligência na gestão do território nacional”;Concurso público;Aquisição de serviços;"79411000-8, Serviços gerais de consultoria em matéria de gestão geral";ANMP - Associação Nacional de Municípios Portugueses (501627413);"Ernst & Young, SA (500912645)";"145.400,00 €";24-04-2019;18-04-2019;390 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Ecoendoscópio;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Unidade Local de Saúde de Matosinhos, E. P. E. (506361390)";SISTEMAS INTEGRALES DE LA MEDICINA S.A. (980488842);"124.500,00 €";24-04-2019;11-01-2019;354 dias;"Portugal, Porto, Matosinhos";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de 4 viaturas de recolha de resíduos;Concurso público;Aquisição de bens móveis;"34144510-6, Veículos para resíduos";"Resialentejo - Tratamento e Valorização de Resíduos, E. I. M. (504895788)";Vecorent - Aluguer Veículos sem condutore comercialização de equipamento ecológico lda (508762537);"283.200,00 €";24-04-2019;04-04-2019;120 dias;"Portugal, Beja, Beja";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO E ASSISTÊNCIA TÉCNICA PARA VENTILADORES, OXIMETROS E PLESTIMOGRAFO DE DIVERSOS SERVIÇOS DO SESARAM, E.P.E.";Concurso público;Aquisição de serviços;"71356200-0, Serviços de assistência técnica";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"SPACEINSP DISPOSITIVOS MÉDICOS, LDA. (514126329)";"3.498,00 €";24-04-2019;24-04-2019;365 dias;"Portugal, Região Autónoma da Madeira<BR/>Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO E ASSISTÊNCIA TÉCNICA PARA VENTILADORES, OXIMETROS E PLESTIMOGRAFO DE DIVERSOS SERVIÇOS DO SESARAM, E.P.E.";Concurso público;Aquisição de serviços;"71356200-0, Serviços de assistência técnica";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"PULMOCOR- EQUIPAMENTO MÉDICA, SA. (501402578)";"30.000,00 €";24-04-2019;24-04-2019;365 dias;"Portugal, Região Autónoma da Madeira, Funchal<BR/>Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços Jurídicos;Concurso público;Aquisição de serviços;"79100000-5, Serviços jurídicos";Autoridade de Gestão do PDR 2020 (901868523);"RH Portugal - Consultores em Investimentos Humanos, Lda (503461245)";"67.128,96 €";24-04-2019;26-02-2019;240 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"A0167_A0168/2019-O presente procedimento tem por objeto a reparação, por lotes, de 1(uma) Pá Carregadora de Lagartas com a matrícula MX-69-48 e de 1 (um) Trator de Lagartas CAT, DGR com a matrícula MX-10-63, conforme Caderno de Encargos.";Concurso público;Aquisição de serviços;"50530000-9, Serviços de reparação e manutenção de máquinas";Estado-Maior do Exército (600021610);"POUSAMIL - Componentes e Máquinas Industriais, SA (501111190)";"25.740,00 €";24-04-2019;10-04-2019;70 dias;"Portugal, Aveiro, Espinho<BR/>Portugal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
12/100/2019 - Aquisição de Material p/Preparação Citostáticos;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário do Algarve, E.P.E. (510745997)";"B.BRAUN MEDICAL LDA (501506543), Fresenius Kabi Pharma Portugal, Lda. (504293753), VYGON (PORTUGAL), LDA (503232785), PMH - PRODUTOS MÉDICOS-HOSPITALARES, S.A. (502376899), BARNA IMPORT MEDICA PORTUGAL, UNIPESSOAL LDA (513468994), CLINIFAR SA (503281115), Medline International Portugal Unipessoal, Lda (510533515), CODAN 11- VENDA E DISTRIBUIÇÃO DE INSTRUMENTPOS MÉDICOS E ACESSÓRIOS S.A. (504923471)";"273.698,43 €";24-04-2019;23-04-2019;618 dias;"Portugal, Faro<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de papel e outros consumíveis de economato;Concurso público;Aquisição de bens móveis;"30100000-0, Máquinas, equipamento e material de escritório, excepto computadores, impressoras e mobiliário";Município de Santa Maria da Feira (501157280);"OHMTécnica - Representações de Marcas, Lda. (504059521)";"8.650,43 €";24-04-2019;18-04-2019;304 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de contentores metálicos ;Concurso público;Aquisição de bens móveis;"44211100-3, Módulos pré-fabricados portáteis";Município de Almada (500051054);"Simopeças - Peças e Componentes para Viaturas de Limpeza Urbana, Lda (503193364)";"13.260,00 €";24-04-2019;17-04-2019;30 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Serviços de seguros para o ano de 2019.;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Município de Sabrosa (506824942);"Caravela Companhia de Seguros, S.A. (503640549)";"54.730,43 €";24-04-2019;08-04-2019;1095 dias;"Portugal, Vila Real, Sabrosa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 34/18 - Serviços de Exames de Medicina Nuclear;Concurso público;Aquisição de serviços;"85150000-5, Serviços de imagiologia médica";"Centro Hospitalar Cova da Beira, EPE (506361659)";"MAIO CLINIC- LENITUDES - ESPECIALIDADES MÉDICAS, S.A. (507430417)";"116.915,00 €";24-04-2019;14-02-2019;183 dias;"Portugal<BR/>Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
ETAR de Gandufe;Concurso público;Empreitadas de obras públicas;"45232421-9, Tratamento de águas residuais";Município de Mangualde (501262997);"Edibeiras - Edificioxs e obras Públicas das Beiras, Lda. (508005833)";"204.000,01 €";24-04-2019;17-04-2019;365 dias;"Portugal, Viseu<BR/>Portugal, Viseu, Mangualde";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Medicamentos e produtos de aplicação tópica para Santa Casa de Misericórdia de Lisboa;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";Santa Casa da Misericórdia de Lisboa (500745471);"TAKEDA-FARMACÊUTICOS PORTUGAL, LDA (502801204)";"600,00 €";24-04-2019;29-03-2019;730 dias;"Portugal, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Medicamentos e produtos de aplicação tópica para Santa Casa de Misericórdia de Lisboa;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";Santa Casa da Misericórdia de Lisboa (500745471);PharmaKern Portugal - Produtos Farmacêuticos Sociedade Unipessoal Lda. (507002571);"264,60 €";24-04-2019;29-03-2019;730 dias;"Portugal<BR/>Portugal, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Medicamentos e produtos de aplicação tópica para Santa Casa de Misericórdia de Lisboa;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";Santa Casa da Misericórdia de Lisboa (500745471);"MERCK SHARP & DOHME, LDA. (500191360)";"3.102,80 €";24-04-2019;29-03-2019;730 dias;"Portugal, Lisboa<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Elaboração dos Projetos de Execução para a PSP;Concurso público;Aquisição de serviços;"71200000-0, Serviços de arquitectura e afins";Secretaria-Geral do Ministério da Administração Interna (600014665);"WA – Engenharia e Consultoria, Lda (513942696)";"15.936,62 €";24-04-2019;15-04-2019;120 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Elaboração dos Projetos de Execução para a PSP;Concurso público;Aquisição de serviços;"71200000-0, Serviços de arquitectura e afins";Secretaria-Geral do Ministério da Administração Interna (600014665);"Marginal Profile, Lda (509214304)";"46.000,00 €";24-04-2019;05-04-2019;130 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Elaboração dos Projetos de Execução para a PSP;Concurso público;Aquisição de serviços;"71200000-0, Serviços de arquitectura e afins";Secretaria-Geral do Ministério da Administração Interna (600014665);"JRTORRES - Consultores de Engenharia, Lda (502437537)";"32.425,00 €";24-04-2019;15-04-2019;180 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de fiscalização e coordenação de segurança em obra relativas à empreitada de reabilitação do Palacete da Quinta das Águas Livres;Concurso público;Aquisição de serviços;"71500000-3, Serviços relacionados com a construção";Secretaria-Geral do Ministério da Administração Interna (600014665);"RIOBOCO - Serviços Gerais, Engenharia e Manutenção, S.A. (513246002)";"8.160,00 €";24-04-2019;16-04-2019;255 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público para fornecimento de energia elétrica em BTN e BTN-IP;Concurso público;Aquisição de serviços;"65310000-9, Distribuição de electricidade";Município de Vila do Bispo (506730573);"EDP Comercial, S.A (503504564)";"671.736,30 €";24-04-2019;08-04-2019;1095 dias;"Portugal, Faro, Vila do Bispo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Procedimento nº 111/DPIE/INFRA/2018 - Empreitada de Substituição da Cobertura e Reparações Diversas no Edifício do DTer de Guimarães, São Torcato";Concurso público;Empreitadas de obras públicas;"45216111-5, Construção de esquadra de polícia";Secretaria-Geral do Ministério da Administração Interna (600014665);Cunha & Costa (505704099);"111.240,12 €";24-04-2019;16-04-2019;90 dias;"Portugal, Braga, Guimarães";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"IC2, KM 063+270 - PASSAGEM HIDRÁULICA 1. REABILITAÇÃO E REFORÇO DA OBRA DE ARTE. (E-contratos 5010038957)";Concurso público;Empreitadas de obras públicas;"45221119-9, Obras de renovação de pontes";"Infraestruturas de Portugal, S. A. (503933813)";"Arouconstroi - Engenharia e Construções, S.A. (503693618)";"192.220,36 €";24-04-2019;18-04-2019;80 dias;"Portugal, Santarém, Rio Maior";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
agregados;Concurso público;Aquisição de bens móveis;"14212000-0, Grânulos, cascalho, pós de pedra, seixos rolados, saibro, pedra britada e triturada, misturas de pedra, seixo-escória e outros agregados";Município de Viana do Castelo (506037258);"Inerbritas, transformação de granitos, S.A. (509299431)";"78.350,00 €";24-04-2019;23-04-2019;365 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Microespiras para a Angiografia para 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"JOHNSON & JOHNSON, LDA (500153370)";"213.750,00 €";24-04-2019;26-02-2019;365 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Microespiras para a Angiografia para 2019;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";World Médica S.L. (ESB82612599);"34.450,00 €";24-04-2019;26-02-2019;365 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"FORNECIMENTO DE ENERGIA ELÉCTRICA PARA AS INSTALAÇÕES DA ENSIGUARDA - ESCOLA PROFISSIONAL, LDA.";Concurso público;Aquisição de bens móveis;"09310000-5, Electricidade";"Ensiguarda Escola Profissional, L.da (506044882)";"Galp Power, S.A. (504723456)";"44.000,00 €";24-04-2019;09-04-2019;730 dias;"Portugal, Guarda, Guarda";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
